,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
867,10593888,55.0,Geoffrey Beene Solid Sateen Tie,236,Geoffrey Beene,http://bim.shopstyle.com/pim/c4/6a/c46a824da5d854342cfa6f7467e74143_best.jpg,"A lustrous solid tie is the perfect worry-free complement to your sophisticated office attire. <ul> <li>Polyester</li> <li>Dry clean only</li> <li>Imported</li> <li>Geoffrey Beene solid sateen tie</li> <li>Classic</li> <li>3 1/4"" wide</li> </ul>",Macy's,_solid,unknown,False
981,457017632,280.0,Brunello Cucinelli solid tie,8296,Brunello Cucinelli,http://bim.shopstyle.com/pim/52/13/5213fd3f375fc073faef1f0dd0160940_best.jpg,Navy silk solid tie from Brunello Cucinelli featuring a pointed tip.,farfetch.com,_solid,_silk,False
1195,460675261,49.5,Lauren Ralph Lauren Ascot Silk Bow Tie,338,Lauren Ralph Lauren,http://bim.shopstyle.com/pim/a6/be/a6be63a3e2d5713048c539cc16c2067e_best.jpg,Special occasions call for a luxe silk bow tie from Lauren Ralph Lauren. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Lauren Ralph Lauren solid bow tie</li> <li>To be tied</li> </ul>,Macy's,_solid,_silk,False
1204,460681712,55.0,Tommy Hilfiger Solid Bow Tie & Black Watch Pocket Square Set,585,Tommy Hilfiger,http://bim.shopstyle.com/pim/4e/51/4e5160ccb0fb5f48dc5c6f3232622d1f_best.jpg,Look like a dapper dandy in this solid bow tie and black watch plaid pocket square combo from Tommy Hilfiger. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Tommy Hilfiger bow tie and pocket square set</li> <li>Solid bow tie</li> <li>Black watch plaid pocket square</li> </ul>,Macy's,_solid,unknown,False
1207,438496930,65.0,"MICHAEL Michael Kors Tie, Sapphire Solid II",372,MICHAEL Michael Kors,http://bim.shopstyle.com/pim/ee/47/ee476cba4a607f4ae7ef9f3f82b9e171_best.jpg,A dose of saturated color. Simplify modern dressing with this solid silk tie from Michael Michael Kors. <ul> <li>Silk</li> <li>Imported</li> <li>Michael Michael Kors solid silk tie</li> <li>3 1/8'' wide</li> </ul>,Macy's,_solid,_silk,False
1208,461766513,55.0,Penguin Montclair Check Skinny Tie,1803,Penguin,http://bim.shopstyle.com/pim/0b/dc/0bdccc531dd2cdc1755c3319fe6d6c93_best.jpg,Modern pattern for the well-dressed gentleman. Highlight solid suiting with this check skinny tie from Penguin. <ul> <li>Silk</li> <li>Dry clean</li> <li>Imported</li> <li>Penguin check silk tie</li> <li>Skinny design</li> <li>2 1/4'' wide</li> </ul>,Macy's,_solid,_silk,False
1209,463922765,59.5,Ryan Seacrest Distinction Velvet Solid Slim Tie,0,,http://bim.shopstyle.com/pim/0c/d8/0cd8cccaee7fea4be121a00b7257f0d3_best.jpg,"Think red carpet—just in black—with this solid velvet tie by Ryan Seacrest Distinction. <ul> <li>Polyester</li> <li>Dry clean</li> <li>Imported</li> <li>Style Made SmartTM is a color matching system based on 4 major suit colors: Black Collection (01), Grey Collection (02), Blue Collection (03) & Brown Collection (04)</li> <li>Slim design</li> <li>3"" wide</li> <li>Black tie: matches Black Collection (01) & Grey Collection (02)</li> </ul>",Macy's,_solid,unknown,False
1217,358305380,65.0,Tommy Hilfiger Solid Brights Tie,585,Tommy Hilfiger,http://bim.shopstyle.com/pim/94/c4/94c4aca667541ec1cab303c733c828e9_best.jpg,Create a singular style with the solid bright statement of this tie from Tommy Hilfiger. <ul> <li>Silk</li> <li>Imported</li> <li>Tommy Hilfiger solid bright tie</li> </ul>,Macy's,_solid,unknown,False
1321,323109333,85.0,Barneys New York Tie Bar,2363,Barneys New York,http://bim.shopstyle.com/pim/97/08/970825f491ce4ef12c48eeacc82055c7_best.jpg,"Sterling silver tie bar in engraved line pattern with solid shield at end. 2"" length. 6mm.",Barneys New York,_solid,unknown,False
1376,453795652,245.0,Saint Laurent Flat Bow Tie,30163,Saint Laurent,http://bim.shopstyle.com/pim/e3/40/e34035823fa5430705c0abc4591ae270_best.jpg,"Saint Laurent solid red silk faille flat bow tie. 1.5"" width, approximately. Adjustable band, hook-and-bar closure. Available in Red. Silk. Dry clean. Made in Italy.",Barneys New York,_solid,_silk,False
